year,population_group,age,number
2000,all_male,9,58678.5
2000,all_male,90+,7250.5
2000,all_male,TOTAL,3102421.5
2000,all_total,0,133905.5
2000,all_total,0-4,645923.5
2000,all_total,1,132208.5
2000,all_total,10,113668.5
2000,all_total,10-14,562154.5
2000,all_total,11,112900.5
2000,all_total,12,112096
2000,all_total,13,111750
2000,all_total,14,111739.5
2000,all_total,15,111125
2000,all_total,15-19,546328.5
2000,all_total,16,110953
2000,all_total,17,109888
2000,all_total,18,107624
2000,all_total,19,106738.5
2000,all_total,2,129595.49999999999
2000,all_total,20,106638
2000,all_total,20-24,536261.5
2000,all_total,21,106166.5
2000,all_total,22,106284
2000,all_total,23,108198
2000,all_total,24,108975
2000,all_total,25,105742.5
2000,all_total,25-29,498550
2000,all_total,26,101709
2000,all_total,27,98822
2000,all_total,28,97064
2000,all_total,29,95212.5
2000,all_total,3,126205.5
2000,all_total,30,90602
2000,all_total,30-34,416335.5
2000,all_total,31,85717.5
2000,all_total,32,81522.5
2000,all_total,33,79306
2000,all_total,34,79187.5
2000,all_total,35,78268
2000,all_total,35-39,382483.5
2000,all_total,36,76666
2000,all_total,37,75569
2000,all_total,38,75332.5
2000,all_total,39,76648
2000,all_total,4,124008.5
2000,all_total,40,76936.5
2000,all_total,40-44,375111
2000,all_total,41,75310
2000,all_total,42,74473.5
2000,all_total,43,73890
2000,all_total,44,74501
2000,all_total,45,74200.5
2000,all_total,45-49,370904.5
2000,all_total,46,73551
2000,all_total,47,74548.5
2000,all_total,48,74730
2000,all_total,49,73874.5
2000,all_total,5,121457.5
2000,all_total,5-9,590113
2000,all_total,50,69696
2000,all_total,50-54,332278
2000,all_total,51,66581
2000,all_total,52,69363
2000,all_total,53,68015
2000,all_total,54,58623
2000,all_total,55,48348.5
2000,all_total,55-59,206540.5
2000,all_total,56,41421.5
2000,all_total,57,38158.5
2000,all_total,58,38384.5
2000,all_total,59,40227.5
2000,all_total,6,119497
2000,all_total,60,41212.5
2000,all_total,60-64,210966.5
2000,all_total,61,42368.5
2000,all_total,62,43938.5
2000,all_total,63,42945.5
2000,all_total,64,40501.5
2000,all_total,65,37983.5
2000,all_total,65-69,180111.5
2000,all_total,66,35862
2000,all_total,67,36192.5
2000,all_total,68,35030
2000,all_total,69,35043.5
2000,all_total,7,118483
2000,all_total,70,35071
2000,all_total,70-74,164737
2000,all_total,71,33472
2000,all_total,72,32773
2000,all_total,73,31767
2000,all_total,74,31654
2000,all_total,75,31183.5
2000,all_total,75-79,135144.5
2000,all_total,76,29743.5
2000,all_total,77,27726.5
2000,all_total,78,24330
2000,all_total,79,22161
2000,all_total,8,116262.5
2000,all_total,80,19682
2000,all_total,80-84,69898
2000,all_total,81,15695.5
2000,all_total,82,12553.5
2000,all_total,83,10866.5
2000,all_total,84,11100.5
2000,all_total,85-89,46800
2000,all_total,9,114413
2000,all_total,90+,18564
2000,all_total,TOTAL,6289205.5
2000,arab_female,0,19236
2000,arab_female,0-4,91149.5
2000,arab_female,1,18892
2000,arab_female,10,14137
2000,arab_female,10-14,63769
2000,arab_female,11,13371.5
2000,arab_female,12,12697
2000,arab_female,13,12036.5
2000,arab_female,14,11527
2000,arab_female,15,11509
2000,arab_female,15-19,55501
2000,arab_female,16,11567.5
2000,arab_female,17,11235.5
2000,arab_female,18,10662
2000,arab_female,19,10527
2000,arab_female,2,18164
2000,arab_female,20,10846
2000,arab_female,20-24,54429.5
2000,arab_female,21,11038.5
2000,arab_female,22,10968.5
2000,arab_female,23,10857.5
2000,arab_female,24,10719
2000,arab_female,25,10357
2000,arab_female,25-29,49124.5
2000,arab_female,26,10061.5
2000,arab_female,27,9909
2000,arab_female,28,9541
2000,arab_female,29,9256
2000,arab_female,3,17444.5
2000,arab_female,30,8895
2000,arab_female,30-34,40684.5
2000,arab_female,31,8333
2000,arab_female,32,7914.5
2000,arab_female,33,7766.5
2000,arab_female,34,7775.5
2000,arab_female,35,7769
2000,arab_female,35-39,35542
2000,arab_female,36,7530
2000,arab_female,37,7165
2000,arab_female,38,6681
2000,arab_female,39,6397
2000,arab_female,4,17413
2000,arab_female,40,6040
2000,arab_female,40-44,26721.5
2000,arab_female,41,5597
2000,arab_female,42,5313
2000,arab_female,43,4945
2000,arab_female,44,4826.5
2000,arab_female,45,4550.5
2000,arab_female,45-49,20670.5
2000,arab_female,46,4267.5
2000,arab_female,47,4097.5
2000,arab_female,48,3906
2000,arab_female,49,3849
2000,arab_female,5,16827.5
2000,arab_female,5-9,78262
2000,arab_female,50,3154.5
2000,arab_female,50-54,14960
2000,arab_female,51,2766
2000,arab_female,52,3035
2000,arab_female,53,2992
2000,arab_female,54,3012.5
2000,arab_female,55,2975.5
2000,arab_female,55-59,12856
2000,arab_female,56,2744.5
2000,arab_female,57,2643
2000,arab_female,58,2303
2000,arab_female,59,2190
2000,arab_female,6,16015
2000,arab_female,60,2092.5
2000,arab_female,60-64,9916
2000,arab_female,61,1882.5
2000,arab_female,62,1990
2000,arab_female,63,2021
2000,arab_female,64,1930
2000,arab_female,65,1694.5
2000,arab_female,65-69,7483.5
2000,arab_female,66,1565.5
2000,arab_female,67,1559.5
2000,arab_female,68,1343.5
2000,arab_female,69,1320.5
2000,arab_female,7,15664.5
2000,arab_female,70,1308
2000,arab_female,70-74,5324
2000,arab_female,71,1238
2000,arab_female,72,1207
2000,arab_female,73,843.5
2000,arab_female,74,727.5
2000,arab_female,75,816.5
2000,arab_female,75-79,3426.5
2000,arab_female,76,946.5
2000,arab_female,77,815
2000,arab_female,78,433.5
2000,arab_female,79,415
2000,arab_female,8,15112
2000,arab_female,80,439.5
2000,arab_female,80-84,1648
2000,arab_female,81,472.5
2000,arab_female,82,412
2000,arab_female,83,180
2000,arab_female,84,144
2000,arab_female,85-89,890.5
2000,arab_female,9,14643
2000,arab_female,90+,485
2000,arab_female,TOTAL,572843.5
2000,arab_male,0,20343
2000,arab_male,0-4,95984
2000,arab_male,1,19940.5
2000,arab_male,10,14730.5
2000,arab_male,10-14,66421
2000,arab_male,11,13987
2000,arab_male,12,13119
2000,arab_male,13,12414
2000,arab_male,14,12170.5
2000,arab_male,15,12149
2000,arab_male,15-19,58160.5
2000,arab_male,16,12095.5
2000,arab_male,17,11696
2000,arab_male,18,11194
2000,arab_male,19,11026
2000,arab_male,2,19094
2000,arab_male,20,11226
2000,arab_male,20-24,55896.5
2000,arab_male,21,11299
2000,arab_male,22,11125
2000,arab_male,23,11189
2000,arab_male,24,11057.5
2000,arab_male,25,10754.5
2000,arab_male,25-29,51135
2000,arab_male,26,10593
2000,arab_male,27,10292.5
2000,arab_male,28,9906
2000,arab_male,29,9589
2000,arab_male,3,18328
2000,arab_male,30,9299.5
2000,arab_male,30-34,43098.5
2000,arab_male,31,8831
2000,arab_male,32,8312.5
2000,arab_male,33,8235
2000,arab_male,34,8420.5
2000,arab_male,35,8249.5
2000,arab_male,35-39,37227
2000,arab_male,36,7767
2000,arab_male,37,7429
2000,arab_male,38,7033
2000,arab_male,39,6748.5
2000,arab_male,4,18278.5
2000,arab_male,40,6333
2000,arab_male,40-44,27545.5
2000,arab_male,41,5840.5
2000,arab_male,42,5513.5
2000,arab_male,43,5014.5
2000,arab_male,44,4844
2000,arab_male,45,4672
2000,arab_male,45-49,20963.5
2000,arab_male,46,4411.5
2000,arab_male,47,4190
2000,arab_male,48,3900.5
2000,arab_male,49,3789.5
2000,arab_male,5,17710
2000,arab_male,5-9,82854.5
2000,arab_male,50,3125.5
2000,arab_male,50-54,14918
2000,arab_male,51,2735
2000,arab_male,52,2928.5
2000,arab_male,53,3004.5
2000,arab_male,54,3124.5
2000,arab_male,55,2977.5
2000,arab_male,55-59,13065.5
2000,arab_male,56,2741.5
2000,arab_male,57,2570
2000,arab_male,58,2390.5
2000,arab_male,59,2386
2000,arab_male,6,17090.5
2000,arab_male,60,2208
2000,arab_male,60-64,9734
2000,arab_male,61,2018.5
2000,arab_male,62,1893.5
2000,arab_male,63,1854.5
2000,arab_male,64,1759.5
2000,arab_male,65,1449
2000,arab_male,65-69,6306.5
2000,arab_male,66,1339
2000,arab_male,67,1261.5
2000,arab_male,68,1120
2000,arab_male,69,1137
2000,arab_male,7,16643.5
2000,arab_male,70,1070.5
2000,arab_male,70-74,4231.5
2000,arab_male,71,916
2000,arab_male,72,873.5
2000,arab_male,73,724
2000,arab_male,74,647.5
2000,arab_male,75,661.5
2000,arab_male,75-79,2623.5
2000,arab_male,76,620.5
2000,arab_male,77,528.5
2000,arab_male,78,417
2000,arab_male,79,396
2000,arab_male,8,15979
2000,arab_male,80,387
2000,arab_male,80-84,1572
2000,arab_male,81,349.5
2000,arab_male,82,316.5
2000,arab_male,83,266.5
2000,arab_male,84,252.5
2000,arab_male,85-89,1078
2000,arab_male,9,15431.5
2000,arab_male,90+,615
2000,arab_male,TOTAL,593430
2000,arab_total,0,39579
2000,arab_total,0-4,187133.5
2000,arab_total,1,38832.5
2000,arab_total,10,28867.5
2000,arab_total,10-14,130190
2000,arab_total,11,27358.5
2000,arab_total,12,25816
2000,arab_total,13,24450.5
2000,arab_total,14,23697.5
2000,arab_total,15,23658
2000,arab_total,15-19,113661.5
2000,arab_total,16,23663
2000,arab_total,17,22931.5
2000,arab_total,18,21856
2000,arab_total,19,21553
2000,arab_total,2,37258
2000,arab_total,20,22072
2000,arab_total,20-24,110326
2000,arab_total,21,22337.5
2000,arab_total,22,22093.5
2000,arab_total,23,22046.5
2000,arab_total,24,21776.5
2000,arab_total,25,21111.5
2000,arab_total,25-29,100259.5
2000,arab_total,26,20654.5
2000,arab_total,27,20201.5
2000,arab_total,28,19447
2000,arab_total,29,18845
2000,arab_total,3,35772.5
2000,arab_total,30,18194.5
2000,arab_total,30-34,83783
2000,arab_total,31,17164
2000,arab_total,32,16227
2000,arab_total,33,16001.5
2000,arab_total,34,16196.000000000002
2000,arab_total,35,16018.5
2000,arab_total,35-39,72769
2000,arab_total,36,15297
2000,arab_total,37,14594
2000,arab_total,38,13714
2000,arab_total,39,13145.5
2000,arab_total,4,35691.5
2000,arab_total,40,12373
2000,arab_total,40-44,54267
2000,arab_total,41,11437.5
2000,arab_total,42,10826.5
2000,arab_total,43,9959.5
2000,arab_total,44,9670.5
2000,arab_total,45,9222.5
2000,arab_total,45-49,41634
2000,arab_total,46,8679
2000,arab_total,47,8287.5
2000,arab_total,48,7806.5
2000,arab_total,49,7638.5
2000,arab_total,5,34537.5
2000,arab_total,5-9,161116.5
2000,arab_total,50,6280
2000,arab_total,50-54,29878
2000,arab_total,51,5501
2000,arab_total,52,5963.5
2000,arab_total,53,5996.5
2000,arab_total,54,6137
2000,arab_total,55,5953
2000,arab_total,55-59,25921.5
2000,arab_total,56,5486
2000,arab_total,57,5213
2000,arab_total,58,4693.5
2000,arab_total,59,4576
2000,arab_total,6,33105.5
2000,arab_total,60,4300.5
2000,arab_total,60-64,19650
2000,arab_total,61,3901
2000,arab_total,62,3883.5
2000,arab_total,63,3875.5
2000,arab_total,64,3689.5
2000,arab_total,65,3143.5
2000,arab_total,65-69,13790
2000,arab_total,66,2904.5
2000,arab_total,67,2821
2000,arab_total,68,2463.5
2000,arab_total,69,2457.5
2000,arab_total,7,32308
2000,arab_total,70,2378.5
2000,arab_total,70-74,9555.5
2000,arab_total,71,2154
2000,arab_total,72,2080.5
2000,arab_total,73,1567.5
2000,arab_total,74,1375
2000,arab_total,75,1478
2000,arab_total,75-79,6050
2000,arab_total,76,1567
2000,arab_total,77,1343.5
2000,arab_total,78,850.5
2000,arab_total,79,811
2000,arab_total,8,31091
2000,arab_total,80,826.5
2000,arab_total,80-84,3220
2000,arab_total,81,822
2000,arab_total,82,728.5
2000,arab_total,83,446.5
2000,arab_total,84,396.5
2000,arab_total,85-89,1968.5
2000,arab_total,9,30074.5
2000,arab_total,90+,1100
2000,arab_total,TOTAL,1166273.5
2000,jews_and_others_female,0,45822.5
2000,jews_and_others_female,0-4,223038.5
2000,jews_and_others_female,1,45455
2000,jews_and_others_female,10,41312
2000,jews_and_others_female,10-14,210447.5
2000,jews_and_others_female,11,41715.5
2000,jews_and_others_female,12,42057
2000,jews_and_others_female,13,42497.5
2000,jews_and_others_female,14,42865.5
2000,jews_and_others_female,15,42536
2000,jews_and_others_female,15-19,210553.5
2000,jews_and_others_female,16,42312
2000,jews_and_others_female,17,42232.5
2000,jews_and_others_female,18,41820.5
2000,jews_and_others_female,19,41652.5
2000,jews_and_others_female,2,44911
2000,jews_and_others_female,20,41425.5
2000,jews_and_others_female,20-24,209785.5
2000,jews_and_others_female,21,41108.5
2000,jews_and_others_female,22,41537
2000,jews_and_others_female,23,42662.5
2000,jews_and_others_female,24,43052
2000,jews_and_others_female,25,41729
2000,jews_and_others_female,25-29,197671.5
2000,jews_and_others_female,26,40130.5
2000,jews_and_others_female,27,39068
2000,jews_and_others_female,28,38630.5
2000,jews_and_others_female,29,38113.5
2000,jews_and_others_female,3,43903.5
2000,jews_and_others_female,30,36324
2000,jews_and_others_female,30-34,168252.5
2000,jews_and_others_female,31,34610
2000,jews_and_others_female,32,33098.5
2000,jews_and_others_female,33,32168.5
2000,jews_and_others_female,34,32051.499999999996
2000,jews_and_others_female,35,31626
2000,jews_and_others_female,35-39,158939.5
2000,jews_and_others_female,36,31243.5
2000,jews_and_others_female,37,31359.5
2000,jews_and_others_female,38,31862
2000,jews_and_others_female,39,32848.5
2000,jews_and_others_female,4,42946.5
2000,jews_and_others_female,40,33441.5
2000,jews_and_others_female,40-44,166336.5
2000,jews_and_others_female,41,33122.5
2000,jews_and_others_female,42,32937
2000,jews_and_others_female,43,33135.5
2000,jews_and_others_female,44,33700
2000,jews_and_others_female,45,33694
2000,jews_and_others_female,45-49,170618
2000,jews_and_others_female,46,33638
2000,jews_and_others_female,47,34433
2000,jews_and_others_female,48,34627.5
2000,jews_and_others_female,49,34225.5
2000,jews_and_others_female,5,42409
2000,jews_and_others_female,5-9,209271.5
2000,jews_and_others_female,50,32847.5
2000,jews_and_others_female,50-54,157007
2000,jews_and_others_female,51,31758
2000,jews_and_others_female,52,32932.5
2000,jews_and_others_female,53,32220.5
2000,jews_and_others_female,54,27248.5
2000,jews_and_others_female,55,21854
2000,jews_and_others_female,55-59,94421.5
2000,jews_and_others_female,56,18536.5
2000,jews_and_others_female,57,17228.5
2000,jews_and_others_female,58,17810.5
2000,jews_and_others_female,59,18992
2000,jews_and_others_female,6,42152.5
2000,jews_and_others_female,60,19813
2000,jews_and_others_female,60-64,103488.5
2000,jews_and_others_female,61,20782.5
2000,jews_and_others_female,62,21730
2000,jews_and_others_female,63,21179
2000,jews_and_others_female,64,19984
2000,jews_and_others_female,65,18968
2000,jews_and_others_female,65-69,91512
2000,jews_and_others_female,66,18039
2000,jews_and_others_female,67,18497
2000,jews_and_others_female,68,18018.5
2000,jews_and_others_female,69,17989.5
2000,jews_and_others_female,7,42047
2000,jews_and_others_female,70,18353
2000,jews_and_others_female,70-74,89178.5
2000,jews_and_others_female,71,17824
2000,jews_and_others_female,72,17557.5
2000,jews_and_others_female,73,17514.5
2000,jews_and_others_female,74,17929.5
2000,jews_and_others_female,75,17781
2000,jews_and_others_female,75-79,75563
2000,jews_and_others_female,76,16833
2000,jews_and_others_female,77,15535
2000,jews_and_others_female,78,13428.5
2000,jews_and_others_female,79,11985.5
2000,jews_and_others_female,8,41571.5
2000,jews_and_others_female,80,10770.5
2000,jews_and_others_female,80-84,39181.5
2000,jews_and_others_female,81,8682
2000,jews_and_others_female,82,6901
2000,jews_and_others_female,83,6232.5
2000,jews_and_others_female,84,6595.5
2000,jews_and_others_female,85-89,27845.5
2000,jews_and_others_female,9,41091.5
2000,jews_and_others_female,90+,10828.5
2000,jews_and_others_female,TOTAL,2613940.5
2000,jews_and_others_male,0,48504
2000,jews_and_others_male,0-4,235751.5
2000,jews_and_others_male,1,47921
2000,jews_and_others_male,10,43489
2000,jews_and_others_male,10-14,221517
2000,jews_and_others_male,11,43826.5
2000,jews_and_others_male,12,44223
2000,jews_and_others_male,13,44802
2000,jews_and_others_male,14,45176.5
2000,jews_and_others_male,15,44931
2000,jews_and_others_male,15-19,222113.5
2000,jews_and_others_male,16,44978
2000,jews_and_others_male,17,44724
